run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,benchmark_tags,autonomy_level,risk_tier,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,avoidable_retries,collateral_damage_free,completion_tokens,controller_repair_count,escalation_readiness,evidence_hit_rate,faster_than_human,hallucinated_tool_rate,human_time_ratio,intervention_free_success,latency_ms,malformed_call_rate,mrr,ndcg,prompt_tokens,real_world_readiness_score,recall_at_k,recovery_resilience,state_integrity_score,steps_taken,success,token_budget_used
20260409T185614Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_clean,retr_003_incident_multimodal,retr_003_incident_multimodal_clean,retrieval,hybrid,hf,False,"real_world,job_like,incident_ops,multimodal",bounded_autonomy,high,,,,,none,1.0,0,1.0,3,0,1.0,1.0,1.0,0.0,0.0087,1.0,4178,0.0,0.5,0.6309297535714575,419,1.0,1.0,1.0,1.0,0,1.0,2
20260409T185617Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_language_fr,retr_003_incident_multimodal,retr_003_incident_multimodal_language_fr,retrieval,hybrid,hf,False,"real_world,job_like,incident_ops,multimodal",bounded_autonomy,high,fr,,,,none,1.0,0,1.0,3,0,1.0,1.0,1.0,0.0,0.0068,1.0,3274,0.0,0.5,0.6309297535714575,458,1.0,1.0,1.0,1.0,0,1.0,2
20260409T185620Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_context_long_history,retr_003_incident_multimodal,retr_003_incident_multimodal_context_long_history,retrieval,hybrid,hf,False,"real_world,job_like,incident_ops,multimodal",bounded_autonomy,high,,,long_history,,none,1.0,0,1.0,3,0,1.0,1.0,1.0,0.0,0.0044,1.0,2104,0.0,0.5,0.6309297535714575,455,1.0,1.0,1.0,1.0,0,1.0,2
20260409T185622Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_efficiency_top_k_3,retr_003_incident_multimodal,retr_003_incident_multimodal_efficiency_top_k_3,retrieval,hybrid,hf,False,"real_world,job_like,incident_ops,multimodal",bounded_autonomy,high,,,,top_k_3,none,1.0,0,1.0,3,0,1.0,1.0,1.0,0.0,0.004,1.0,1927,0.0,0.5,0.6309297535714575,419,1.0,1.0,1.0,1.0,0,1.0,2
20260409T185623Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_clean,retr_011_approval_policy,retr_011_approval_policy_clean,retrieval,hybrid,hf,False,"real_world,job_like,release_ops",bounded_autonomy,high,,,,,none,1.0,0,1.0,10,0,1.0,1.0,1.0,0.0,0.0042,1.0,1264,0.0,1.0,1.0,165,1.0,1.0,1.0,1.0,0,1.0,3
20260409T185626Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_language_fr,retr_011_approval_policy,retr_011_approval_policy_language_fr,retrieval,hybrid,hf,False,"real_world,job_like,release_ops",bounded_autonomy,high,fr,,,,"failed, answer_mismatch",0.0,0,0.0,26,0,1.0,1.0,1.0,0.0,0.0082,0.0,2470,0.0,1.0,1.0,192,0.1,1.0,1.0,0.0,0,0.0,3
20260409T185627Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_context_long_history,retr_011_approval_policy,retr_011_approval_policy_context_long_history,retrieval,hybrid,hf,False,"real_world,job_like,release_ops",bounded_autonomy,high,,,long_history,,none,1.0,0,1.0,10,0,1.0,1.0,1.0,0.0,0.0038,1.0,1129,0.0,1.0,1.0,201,1.0,1.0,1.0,1.0,0,1.0,3
20260409T185628Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_efficiency_top_k_3,retr_011_approval_policy,retr_011_approval_policy_efficiency_top_k_3,retrieval,hybrid,hf,False,"real_world,job_like,release_ops",bounded_autonomy,high,,,,top_k_3,none,1.0,0,1.0,10,0,1.0,1.0,1.0,0.0,0.0032,1.0,958,0.0,1.0,1.0,165,1.0,1.0,1.0,1.0,0,1.0,3
20260409T185632Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_clean,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_clean,retrieval,hybrid,hf,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,,,none,1.0,0,1.0,9,0,1.0,1.0,1.0,0.0,0.0093,1.0,3341,0.0,1.0,1.0,431,1.0,1.0,1.0,1.0,0,1.0,2
20260409T185635Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_language_fr,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_language_fr,retrieval,hybrid,hf,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,fr,,,,none,1.0,0,1.0,3,0,1.0,1.0,1.0,0.0,0.0073,1.0,2639,0.0,1.0,1.0,458,1.0,1.0,1.0,1.0,0,1.0,2
20260409T185638Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_context_long_history,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_context_long_history,retrieval,hybrid,hf,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,long_history,,none,1.0,0,1.0,7,0,1.0,1.0,1.0,0.0,0.0095,1.0,3419,0.0,1.0,1.0,467,1.0,1.0,1.0,1.0,0,1.0,2
20260409T185641Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_efficiency_top_k_3,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_efficiency_top_k_3,retrieval,hybrid,hf,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,,top_k_3,none,1.0,0,1.0,3,0,1.0,1.0,1.0,0.0,0.0068,1.0,2462,0.0,1.0,1.0,431,1.0,1.0,1.0,1.0,0,1.0,2
