run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,benchmark_tags,autonomy_level,risk_tier,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,arg_exact,avoidable_retries,collateral_damage_free,completion_tokens,controller_repair_count,escalation_readiness,evidence_hit_rate,exact_match,faster_than_human,final_state_match,hallucinated_tool_rate,human_time_ratio,interface_reliability_score,intervention_free_success,latency_ms,malformed_call_rate,mrr,ndcg,prompt_tokens,real_world_readiness_score,recall_at_k,recovery_correct,recovery_resilience,state_integrity_score,steps_taken,success,token_budget_used,tool_exact
20260409T190730Z_monolith_think_013_prod_approval_escalation_think_013_prod_approval_escalation_clean,think_013_prod_approval_escalation,think_013_prod_approval_escalation_clean,thinking,monolith,hf_service,False,"real_world,job_like,release_ops,escalation",bounded_autonomy,high,,,,,"failed, answer_mismatch",0.0,,0,0.0,3,0,0.0,,0.0,1.0,,0.0,0.0086,,0.0,2071,0.0,,,158,0.0,,,1.0,0.0,0,0.0,,
20260409T190731Z_monolith_think_013_prod_approval_escalation_think_013_prod_approval_escalation_language_fr,think_013_prod_approval_escalation,think_013_prod_approval_escalation_language_fr,thinking,monolith,hf_service,False,"real_world,job_like,release_ops,escalation",bounded_autonomy,high,fr,,,,"failed, answer_mismatch",0.0,,0,0.0,4,0,0.0,,0.0,1.0,,0.0,0.0035,,0.0,851,0.0,,,173,0.0,,,1.0,0.0,0,0.0,,
20260409T190732Z_monolith_think_013_prod_approval_escalation_think_013_prod_approval_escalation_context_stale_preference,think_013_prod_approval_escalation,think_013_prod_approval_escalation_context_stale_preference,thinking,monolith,hf_service,False,"real_world,job_like,release_ops,escalation",bounded_autonomy,high,,,stale_preference,,"failed, answer_mismatch",0.0,,0,0.0,3,0,0.0,,0.0,1.0,,0.0,0.0026,,0.0,621,0.0,,,172,0.0,,,1.0,0.0,0,0.0,,
20260409T190732Z_monolith_think_013_prod_approval_escalation_think_013_prod_approval_escalation_efficiency_dim_256,think_013_prod_approval_escalation,think_013_prod_approval_escalation_efficiency_dim_256,thinking,monolith,hf_service,False,"real_world,job_like,release_ops,escalation",bounded_autonomy,high,,,,dim_256,"failed, answer_mismatch",0.0,,0,0.0,3,0,0.0,,0.0,1.0,,0.0,0.0022,,0.0,524,0.0,,,158,0.0,,,1.0,0.0,0,0.0,,
20260409T190752Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_clean,retr_003_incident_multimodal,retr_003_incident_multimodal_clean,retrieval,hybrid,hf_service,False,"real_world,job_like,incident_ops,multimodal",bounded_autonomy,high,,,,,none,1.0,,0,1.0,3,0,1.0,1.0,,1.0,,0.0,0.0091,,1.0,4387,0.0,0.5,0.6309297535714575,419,1.0,1.0,,1.0,1.0,0,1.0,2,
20260409T190755Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_language_fr,retr_003_incident_multimodal,retr_003_incident_multimodal_language_fr,retrieval,hybrid,hf_service,False,"real_world,job_like,incident_ops,multimodal",bounded_autonomy,high,fr,,,,none,1.0,,0,1.0,3,0,1.0,1.0,,1.0,,0.0,0.0054,,1.0,2594,0.0,0.5,0.6309297535714575,458,1.0,1.0,,1.0,1.0,0,1.0,2,
20260409T190758Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_context_long_history,retr_003_incident_multimodal,retr_003_incident_multimodal_context_long_history,retrieval,hybrid,hf_service,False,"real_world,job_like,incident_ops,multimodal",bounded_autonomy,high,,,long_history,,none,1.0,,0,1.0,3,0,1.0,1.0,,1.0,,0.0,0.0065,,1.0,3122,0.0,0.5,0.6309297535714575,455,1.0,1.0,,1.0,1.0,0,1.0,2,
20260409T190802Z_hybrid_retr_003_incident_multimodal_retr_003_incident_multimodal_efficiency_top_k_3,retr_003_incident_multimodal,retr_003_incident_multimodal_efficiency_top_k_3,retrieval,hybrid,hf_service,False,"real_world,job_like,incident_ops,multimodal",bounded_autonomy,high,,,,top_k_3,none,1.0,,0,1.0,3,0,1.0,1.0,,1.0,,0.0,0.0066,,1.0,3179,0.0,0.5,0.6309297535714575,419,1.0,1.0,,1.0,1.0,0,1.0,2,
20260409T190805Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_clean,retr_011_approval_policy,retr_011_approval_policy_clean,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops",bounded_autonomy,high,,,,,none,1.0,,0,1.0,10,0,1.0,1.0,,1.0,,0.0,0.0054,,1.0,1608,0.0,1.0,1.0,165,1.0,1.0,,1.0,1.0,0,1.0,3,
20260409T190808Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_language_fr,retr_011_approval_policy,retr_011_approval_policy_language_fr,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops",bounded_autonomy,high,fr,,,,"failed, answer_mismatch",0.0,,0,0.0,26,0,1.0,1.0,,1.0,,0.0,0.0091,,0.0,2715,0.0,1.0,1.0,192,0.1,1.0,,1.0,0.0,0,0.0,3,
20260409T190809Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_context_long_history,retr_011_approval_policy,retr_011_approval_policy_context_long_history,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops",bounded_autonomy,high,,,long_history,,none,1.0,,0,1.0,11,0,1.0,1.0,,1.0,,0.0,0.004,,1.0,1214,0.0,1.0,1.0,201,1.0,1.0,,1.0,1.0,0,1.0,3,
20260409T190810Z_hybrid_retr_011_approval_policy_retr_011_approval_policy_efficiency_top_k_3,retr_011_approval_policy,retr_011_approval_policy_efficiency_top_k_3,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops",bounded_autonomy,high,,,,top_k_3,none,1.0,,0,1.0,10,0,1.0,1.0,,1.0,,0.0,0.0042,,1.0,1268,0.0,1.0,1.0,165,1.0,1.0,,1.0,1.0,0,1.0,3,
20260409T190814Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_clean,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_clean,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,,,none,1.0,,0,1.0,3,0,1.0,1.0,,1.0,,0.0,0.0096,,1.0,3454,0.0,1.0,1.0,431,1.0,1.0,,1.0,1.0,0,1.0,2,
20260409T190817Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_language_fr,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_language_fr,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,fr,,,,none,1.0,,0,1.0,3,0,1.0,1.0,,1.0,,0.0,0.0075,,1.0,2710,0.0,1.0,1.0,458,1.0,1.0,,1.0,1.0,0,1.0,2,
20260409T190821Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_context_long_history,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_context_long_history,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,long_history,,none,1.0,,0,1.0,7,0,1.0,1.0,,1.0,,0.0,0.0089,,1.0,3197,0.0,1.0,1.0,467,1.0,1.0,,1.0,1.0,0,1.0,2,
20260409T190823Z_hybrid_retr_012_rollout_toggle_multimodal_retr_012_rollout_toggle_multimodal_efficiency_top_k_3,retr_012_rollout_toggle_multimodal,retr_012_rollout_toggle_multimodal_efficiency_top_k_3,retrieval,hybrid,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,,top_k_3,none,1.0,,0,1.0,3,0,1.0,1.0,,1.0,,0.0,0.006,,1.0,2178,0.0,1.0,1.0,431,1.0,1.0,,1.0,1.0,0,1.0,2,
20260409T190825Z_hybrid_retr_013_vendor_access_defer_retr_013_vendor_access_defer_clean,retr_013_vendor_access_defer,retr_013_vendor_access_defer_clean,retrieval,hybrid,hf_service,False,"real_world,job_like,access_ops,defer",bounded_autonomy,high,,,,,none,1.0,,0,1.0,16,0,1.0,1.0,,1.0,,0.0,0.0077,,1.0,1848,0.0,1.0,1.0,156,1.0,1.0,,1.0,1.0,0,1.0,2,
20260409T190832Z_hybrid_retr_013_vendor_access_defer_retr_013_vendor_access_defer_language_fr,retr_013_vendor_access_defer,retr_013_vendor_access_defer_language_fr,retrieval,hybrid,hf_service,False,"real_world,job_like,access_ops,defer",bounded_autonomy,high,fr,,,,"failed, answer_mismatch",0.0,,0,0.0,53,0,0.0,1.0,,1.0,,0.0,0.0266,,0.0,6385,0.0,1.0,1.0,183,0.0,1.0,,1.0,0.0,0,0.0,2,
20260409T190835Z_hybrid_retr_013_vendor_access_defer_retr_013_vendor_access_defer_context_long_history,retr_013_vendor_access_defer,retr_013_vendor_access_defer_context_long_history,retrieval,hybrid,hf_service,False,"real_world,job_like,access_ops,defer",bounded_autonomy,high,,,long_history,,none,1.0,,0,1.0,29,0,1.0,1.0,,1.0,,0.0,0.0126,,1.0,3030,0.0,1.0,1.0,192,1.0,1.0,,1.0,1.0,0,1.0,2,
20260409T190839Z_hybrid_retr_013_vendor_access_defer_retr_013_vendor_access_defer_efficiency_top_k_3,retr_013_vendor_access_defer,retr_013_vendor_access_defer_efficiency_top_k_3,retrieval,hybrid,hf_service,False,"real_world,job_like,access_ops,defer",bounded_autonomy,high,,,,top_k_3,none,1.0,,0,1.0,29,0,1.0,1.0,,1.0,,0.0,0.0117,,1.0,2798,0.0,1.0,1.0,156,1.0,1.0,,1.0,1.0,0,1.0,2,
20260409T190903Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_clean,tool_009_parallel_context_check,tool_009_parallel_context_check_clean,tool_routing,modular,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,,,none,1.0,1.0,0,1.0,83,1,1.0,,,1.0,,0.0,0.0238,0.9999999999999999,1.0,14275,0.0,,,630,1.0,,1.0,1.0,1.0,2,1.0,,1.0
20260409T190912Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_language_code_switch,tool_009_parallel_context_check,tool_009_parallel_context_check_language_code_switch,tool_routing,modular,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,code_switch,,,,none,1.0,1.0,0,1.0,91,1,1.0,,,1.0,,0.0,0.0161,0.9999999999999999,1.0,9641,0.0,,,638,1.0,,1.0,1.0,1.0,2,1.0,,1.0
20260409T190919Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_schema_renamed_fields,tool_009_parallel_context_check,tool_009_parallel_context_check_schema_renamed_fields,tool_routing,modular,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,renamed_fields,,,none,1.0,1.0,0,1.0,90,3,1.0,,,1.0,,0.0,0.0117,0.9999999999999999,1.0,7015,0.0,,,654,1.0,,1.0,1.0,1.0,2,1.0,,1.0
20260409T190927Z_modular_tool_009_parallel_context_check_tool_009_parallel_context_check_context_irrelevant_tool_output,tool_009_parallel_context_check,tool_009_parallel_context_check_context_irrelevant_tool_output,tool_routing,modular,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,irrelevant_tool_output,,none,1.0,1.0,0,1.0,94,1,1.0,,,1.0,,0.0,0.0134,0.9999999999999999,1.0,8026,0.0,,,672,1.0,,1.0,1.0,1.0,2,1.0,,1.0
20260409T190938Z_modular_tool_010_validator_ready_tool_010_validator_ready_clean,tool_010_validator_ready,tool_010_validator_ready_clean,tool_routing,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,,,,,none,1.0,1.0,0,1.0,99,1,1.0,,,1.0,,0.0,0.029,0.9999999999999999,1.0,10444,0.0,,,626,1.0,,1.0,1.0,1.0,1,1.0,,1.0
20260409T190946Z_modular_tool_010_validator_ready_tool_010_validator_ready_language_code_switch,tool_010_validator_ready,tool_010_validator_ready_language_code_switch,tool_routing,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,code_switch,,,,none,1.0,1.0,0,1.0,99,1,1.0,,,1.0,,0.0,0.022,0.9999999999999999,1.0,7917,0.0,,,634,1.0,,1.0,1.0,1.0,1,1.0,,1.0
20260409T190953Z_modular_tool_010_validator_ready_tool_010_validator_ready_schema_renamed_fields,tool_010_validator_ready,tool_010_validator_ready_schema_renamed_fields,tool_routing,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,,renamed_fields,,,none,1.0,1.0,0,1.0,111,2,1.0,,,1.0,,0.0,0.0211,0.9999999999999999,1.0,7588,0.0,,,641,1.0,,1.0,1.0,1.0,1,1.0,,1.0
20260409T191003Z_modular_tool_010_validator_ready_tool_010_validator_ready_context_irrelevant_tool_output,tool_010_validator_ready,tool_010_validator_ready_context_irrelevant_tool_output,tool_routing,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,,,irrelevant_tool_output,,none,1.0,1.0,0,1.0,110,1,1.0,,,1.0,,0.0,0.0271,0.9999999999999999,1.0,9753,0.0,,,668,1.0,,1.0,1.0,1.0,1,1.0,,1.0
20260409T191010Z_modular_tool_012_billing_patch_record_tool_012_billing_patch_record_clean,tool_012_billing_patch_record,tool_012_billing_patch_record_clean,tool_routing,modular,hf_service,False,"real_world,job_like,billing_ops",bounded_autonomy,high,,,,,"failed, wrong_tool, arg_mismatch",1.0,0.0,0,1.0,59,1,1.0,,,1.0,,0.0,0.0134,0.25,0.0,6455,0.0,,,475,0.55,,1.0,1.0,1.0,1,0.0,,0.0
20260409T191015Z_modular_tool_012_billing_patch_record_tool_012_billing_patch_record_language_code_switch,tool_012_billing_patch_record,tool_012_billing_patch_record_language_code_switch,tool_routing,modular,hf_service,False,"real_world,job_like,billing_ops",bounded_autonomy,high,code_switch,,,,"failed, wrong_tool, arg_mismatch",1.0,0.0,0,1.0,80,1,1.0,,,1.0,,0.0,0.0107,0.25,0.0,5139,0.0,,,483,0.55,,1.0,1.0,1.0,1,0.0,,0.0
20260409T191018Z_modular_tool_012_billing_patch_record_tool_012_billing_patch_record_schema_renamed_fields,tool_012_billing_patch_record,tool_012_billing_patch_record_schema_renamed_fields,tool_routing,modular,hf_service,False,"real_world,job_like,billing_ops",bounded_autonomy,high,,renamed_fields,,,"failed, wrong_tool, arg_mismatch",1.0,0.0,0,1.0,59,2,1.0,,,1.0,,0.0,0.0076,0.25,0.0,3652,0.0,,,490,0.55,,1.0,1.0,1.0,1,0.0,,0.0
20260409T191022Z_modular_tool_012_billing_patch_record_tool_012_billing_patch_record_context_irrelevant_tool_output,tool_012_billing_patch_record,tool_012_billing_patch_record_context_irrelevant_tool_output,tool_routing,modular,hf_service,False,"real_world,job_like,billing_ops",bounded_autonomy,high,,,irrelevant_tool_output,,"failed, wrong_tool, arg_mismatch",1.0,0.0,0,1.0,59,1,1.0,,,1.0,,0.0,0.0077,0.25,0.0,3678,0.0,,,517,0.55,,1.0,1.0,1.0,1,0.0,,0.0
