run_id,task_id,variant_id,track,architecture,backend,thinking_enabled,benchmark_tags,autonomy_level,risk_tier,language_stressor,schema_stressor,context_stressor,efficiency_stressor,failure_summary,answer_match,arg_exact,avoidable_retries,collateral_damage_free,completion_tokens,controller_repair_count,escalation_readiness,faster_than_human,final_state_match,hallucinated_tool_rate,human_time_ratio,interface_reliability_score,intervention_free_success,latency_ms,malformed_call_rate,prompt_tokens,real_world_readiness_score,recovery_correct,recovery_resilience,state_integrity_score,steps_taken,success,tool_exact
20260409T191122Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_clean,agent_002_reschedule_sarah,agent_002_reschedule_sarah_clean,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,,,,,none,1.0,1.0,0,1.0,192,2,1.0,1.0,1.0,0.0,0.0422,1.0,1.0,20275,0.0,1303,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191140Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_language_fr,agent_002_reschedule_sarah,agent_002_reschedule_sarah_language_fr,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,fr,,,,none,1.0,1.0,0,1.0,192,2,1.0,1.0,1.0,0.0,0.037,1.0,1.0,17769,0.0,1348,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191154Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_schema_validator_feedback,agent_002_reschedule_sarah,agent_002_reschedule_sarah_schema_validator_feedback,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,,validator_feedback,,,none,1.0,1.0,0,1.0,192,2,1.0,1.0,1.0,0.0,0.0287,1.0,1.0,13764,0.0,1303,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191209Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_context_changed_constraint,agent_002_reschedule_sarah,agent_002_reschedule_sarah_context_changed_constraint,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,,,changed_constraint,,none,1.0,1.0,0,1.0,192,2,1.0,1.0,1.0,0.0,0.0312,1.0,1.0,14996,0.0,1354,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191226Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_efficiency_truncation_compact,agent_002_reschedule_sarah,agent_002_reschedule_sarah_efficiency_truncation_compact,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,,,,truncation_compact,none,1.0,1.0,0,1.0,192,2,1.0,1.0,1.0,0.0,0.0328,1.0,1.0,15743,0.0,1303,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191239Z_modular_agent_002_reschedule_sarah_agent_002_reschedule_sarah_crossed,agent_002_reschedule_sarah,agent_002_reschedule_sarah_crossed,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops",bounded_autonomy,medium,fr,,changed_constraint,truncation_compact,none,1.0,1.0,0,1.0,159,2,1.0,1.0,1.0,0.0,0.0251,1.0,1.0,12034,0.0,1348,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191249Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_clean,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_clean,full_stack,modular,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,,,none,1.0,1.0,0,1.0,124,2,1.0,1.0,1.0,0.0,0.0141,1.0,1.0,10154,0.0,1254,1.0,1.0,1.0,1.0,3,1.0,1.0
20260409T191301Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_language_fr,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_language_fr,full_stack,modular,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,fr,,,,"wrong_tool, arg_mismatch",1.0,0.0,0,1.0,174,3,1.0,1.0,1.0,0.0,0.0154,0.4,1.0,11117,0.0,1804,1.0,1.0,1.0,1.0,3,1.0,0.0
20260409T191310Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_schema_validator_feedback,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_schema_validator_feedback,full_stack,modular,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,validator_feedback,,,none,1.0,1.0,0,1.0,130,2,1.0,1.0,1.0,0.0,0.0118,1.0,1.0,8466,0.0,1254,1.0,1.0,1.0,1.0,3,1.0,1.0
20260409T191319Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_context_changed_constraint,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_context_changed_constraint,full_stack,modular,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,changed_constraint,,none,1.0,1.0,0,1.0,122,2,1.0,1.0,1.0,0.0,0.0119,1.0,1.0,8578,0.0,1305,1.0,1.0,1.0,1.0,3,1.0,1.0
20260409T191328Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_efficiency_truncation_compact,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_efficiency_truncation_compact,full_stack,modular,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,,,,truncation_compact,none,1.0,1.0,0,1.0,122,2,1.0,1.0,1.0,0.0,0.0119,1.0,1.0,8581,0.0,1254,1.0,1.0,1.0,1.0,3,1.0,1.0
20260409T191339Z_modular_agent_010_parallel_audit_patch_agent_010_parallel_audit_patch_crossed,agent_010_parallel_audit_patch,agent_010_parallel_audit_patch_crossed,full_stack,modular,hf_service,False,"real_world,job_like,release_ops,multimodal",bounded_autonomy,high,fr,,changed_constraint,truncation_compact,"wrong_tool, arg_mismatch",1.0,0.0,0,1.0,175,3,1.0,1.0,1.0,0.0,0.0152,0.4,1.0,10968,0.0,1804,1.0,1.0,1.0,1.0,3,1.0,0.0
20260409T191353Z_modular_agent_011_runbook_guided_patch_agent_011_runbook_guided_patch_clean,agent_011_runbook_guided_patch,agent_011_runbook_guided_patch_clean,full_stack,modular,hf_service,False,"real_world,job_like,release_ops",bounded_autonomy,high,,,,,none,1.0,1.0,0,1.0,176,2,1.0,1.0,1.0,0.0,0.0222,1.0,1.0,13322,0.0,1131,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191406Z_modular_agent_011_runbook_guided_patch_agent_011_runbook_guided_patch_language_fr,agent_011_runbook_guided_patch,agent_011_runbook_guided_patch_language_fr,full_stack,modular,hf_service,False,"real_world,job_like,release_ops",bounded_autonomy,high,fr,,,,"failed, answer_mismatch",0.0,1.0,0,1.0,172,2,1.0,1.0,1.0,0.0,0.0201,1.0,0.0,12082,0.0,1164,0.55,1.0,1.0,1.0,2,0.0,1.0
20260409T191416Z_modular_agent_011_runbook_guided_patch_agent_011_runbook_guided_patch_schema_validator_feedback,agent_011_runbook_guided_patch,agent_011_runbook_guided_patch_schema_validator_feedback,full_stack,modular,hf_service,False,"real_world,job_like,release_ops",bounded_autonomy,high,,validator_feedback,,,none,1.0,1.0,0,1.0,149,2,1.0,1.0,1.0,0.0,0.0168,1.0,1.0,10064,0.0,1131,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191439Z_modular_agent_011_runbook_guided_patch_agent_011_runbook_guided_patch_context_changed_constraint,agent_011_runbook_guided_patch,agent_011_runbook_guided_patch_context_changed_constraint,full_stack,modular,hf_service,False,"real_world,job_like,release_ops",bounded_autonomy,high,,,changed_constraint,,none,1.0,1.0,0,1.0,190,2,1.0,1.0,1.0,0.0,0.0351,1.0,1.0,21047,0.0,1182,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191451Z_modular_agent_011_runbook_guided_patch_agent_011_runbook_guided_patch_efficiency_truncation_compact,agent_011_runbook_guided_patch,agent_011_runbook_guided_patch_efficiency_truncation_compact,full_stack,modular,hf_service,False,"real_world,job_like,release_ops",bounded_autonomy,high,,,,truncation_compact,none,1.0,1.0,0,1.0,138,2,1.0,1.0,1.0,0.0,0.0184,1.0,1.0,11052,0.0,1131,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191505Z_modular_agent_011_runbook_guided_patch_agent_011_runbook_guided_patch_crossed,agent_011_runbook_guided_patch,agent_011_runbook_guided_patch_crossed,full_stack,modular,hf_service,False,"real_world,job_like,release_ops",bounded_autonomy,high,fr,,changed_constraint,truncation_compact,none,1.0,1.0,0,1.0,175,2,1.0,1.0,1.0,0.0,0.0225,1.0,1.0,13501,0.0,1164,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191517Z_modular_agent_012_billing_guardrail_patch_agent_012_billing_guardrail_patch_clean,agent_012_billing_guardrail_patch,agent_012_billing_guardrail_patch_clean,full_stack,modular,hf_service,False,"real_world,job_like,billing_ops,multimodal",bounded_autonomy,high,,,,,none,1.0,1.0,0,1.0,162,2,1.0,1.0,1.0,0.0,0.0203,1.0,1.0,12190,0.0,1179,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191532Z_modular_agent_012_billing_guardrail_patch_agent_012_billing_guardrail_patch_language_fr,agent_012_billing_guardrail_patch,agent_012_billing_guardrail_patch_language_fr,full_stack,modular,hf_service,False,"real_world,job_like,billing_ops,multimodal",bounded_autonomy,high,fr,,,,"failed, answer_mismatch",0.0,1.0,0,1.0,185,2,1.0,1.0,1.0,0.0,0.0231,1.0,0.0,13888,0.0,1212,0.55,1.0,1.0,1.0,2,0.0,1.0
20260409T191543Z_modular_agent_012_billing_guardrail_patch_agent_012_billing_guardrail_patch_schema_validator_feedback,agent_012_billing_guardrail_patch,agent_012_billing_guardrail_patch_schema_validator_feedback,full_stack,modular,hf_service,False,"real_world,job_like,billing_ops,multimodal",bounded_autonomy,high,,validator_feedback,,,none,1.0,1.0,0,1.0,158,2,1.0,1.0,1.0,0.0,0.0176,1.0,1.0,10556,0.0,1179,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191556Z_modular_agent_012_billing_guardrail_patch_agent_012_billing_guardrail_patch_context_changed_constraint,agent_012_billing_guardrail_patch,agent_012_billing_guardrail_patch_context_changed_constraint,full_stack,modular,hf_service,False,"real_world,job_like,billing_ops,multimodal",bounded_autonomy,high,,,changed_constraint,,none,1.0,1.0,0,1.0,159,2,1.0,1.0,1.0,0.0,0.0213,1.0,1.0,12803,0.0,1230,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191608Z_modular_agent_012_billing_guardrail_patch_agent_012_billing_guardrail_patch_efficiency_truncation_compact,agent_012_billing_guardrail_patch,agent_012_billing_guardrail_patch_efficiency_truncation_compact,full_stack,modular,hf_service,False,"real_world,job_like,billing_ops,multimodal",bounded_autonomy,high,,,,truncation_compact,none,1.0,1.0,0,1.0,163,2,1.0,1.0,1.0,0.0,0.0168,1.0,1.0,10080,0.0,1179,1.0,1.0,1.0,1.0,2,1.0,1.0
20260409T191619Z_modular_agent_013_ambiguous_vendor_defer_agent_013_ambiguous_vendor_defer_clean,agent_013_ambiguous_vendor_defer,agent_013_ambiguous_vendor_defer_clean,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops,defer",bounded_autonomy,medium,,,,,"failed, wrong_tool, arg_mismatch, answer_mismatch",0.0,0.0,0,1.0,144,1,0.0,1.0,1.0,0.0,0.0344,0.4,0.0,10321,0.0,670,0.45,1.0,1.0,1.0,1,0.0,0.0
20260409T191629Z_modular_agent_013_ambiguous_vendor_defer_agent_013_ambiguous_vendor_defer_language_fr,agent_013_ambiguous_vendor_defer,agent_013_ambiguous_vendor_defer_language_fr,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops,defer",bounded_autonomy,medium,fr,,,,"failed, wrong_tool, arg_mismatch, answer_mismatch",0.0,0.0,0,1.0,144,1,0.0,1.0,1.0,0.0,0.0331,0.4,0.0,9922,0.0,700,0.45,1.0,1.0,1.0,1,0.0,0.0
20260409T191640Z_modular_agent_013_ambiguous_vendor_defer_agent_013_ambiguous_vendor_defer_schema_validator_feedback,agent_013_ambiguous_vendor_defer,agent_013_ambiguous_vendor_defer_schema_validator_feedback,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops,defer",bounded_autonomy,medium,,validator_feedback,,,"failed, wrong_tool, arg_mismatch, answer_mismatch",0.0,0.0,0,1.0,142,1,0.0,1.0,1.0,0.0,0.0354,0.4,0.0,10631,0.0,670,0.45,1.0,1.0,1.0,1,0.0,0.0
20260409T191648Z_modular_agent_013_ambiguous_vendor_defer_agent_013_ambiguous_vendor_defer_context_changed_constraint,agent_013_ambiguous_vendor_defer,agent_013_ambiguous_vendor_defer_context_changed_constraint,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops,defer",bounded_autonomy,medium,,,changed_constraint,,"failed, wrong_tool, arg_mismatch, answer_mismatch",0.0,0.0,0,1.0,104,1,0.0,1.0,1.0,0.0,0.0271,0.4,0.0,8128,0.0,704,0.45,1.0,1.0,1.0,1,0.0,0.0
20260409T191656Z_modular_agent_013_ambiguous_vendor_defer_agent_013_ambiguous_vendor_defer_efficiency_truncation_compact,agent_013_ambiguous_vendor_defer,agent_013_ambiguous_vendor_defer_efficiency_truncation_compact,full_stack,modular,hf_service,False,"real_world,job_like,calendar_ops,defer",bounded_autonomy,medium,,,,truncation_compact,"failed, wrong_tool, arg_mismatch, answer_mismatch",0.0,0.0,0,1.0,77,1,0.0,1.0,1.0,0.0,0.024,0.4,0.0,7207,0.0,670,0.45,1.0,1.0,1.0,1,0.0,0.0
