display_name,short_label,system_id,lane,run_intent,provider,deployment,local,backend,reasoner,router,retriever,reasoner_display_name,router_display_name,retriever_display_name,reasoner_params_b,router_params_b,retriever_params_b,total_params_b,input_cost_per_mtok,output_cost_per_mtok,episode_count,pass_count,refine_count,fail_count,artifact_quality_avg,browser_workflow_avg,strict_interface_avg,recovered_execution_avg,real_world_readiness_avg,escalation_correctness_avg,created_at,run_group_id,output_dir,color,reasoner_backend,router_backend,retriever_backend
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,6,6,0,0,0.875,0.0,1.0,1.0,0.9725,1.0,20260409T204026Z,20260409T204026Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T204026Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,12,12,0,0,0.8298666666666666,0.0,1.0,1.0,0.8434083333333334,1.0,20260409T204026Z,20260409T204026Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T204026Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,12,12,0,0,1.0,0.0,1.0,1.0,0.8849999999999999,1.0,20260409T204104Z,20260409T204104Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T204104Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,6,6,0,0,0.9166666666666666,0.0,1.0,1.0,0.9816666666666666,1.0,20260409T204112Z,20260409T204112Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T204112Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,12,12,0,0,0.9638916666666667,0.0,1.0,1.0,0.8770583333333333,1.0,20260409T204743Z,20260409T204743Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T204743Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,6,6,0,0,0.9166666666666666,0.0,1.0,1.0,0.9816666666666666,1.0,20260409T204744Z,20260409T204744Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T204744Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,6,6,0,0,1.0,0.0,1.0,1.0,1.0,1.0,20260409T204852Z,20260409T204852Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T204852Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,12,12,0,0,0.9638916666666667,0.0,1.0,1.0,0.8770583333333333,1.0,20260409T204852Z,20260409T204852Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T204852Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,12,12,0,0,0.9916666666666667,0.0,1.0,1.0,0.9081666666666667,1.0,20260409T205009Z,20260409T205009Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T205009Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,6,6,0,0,1.0,0.9444,1.0,1.0,1.0733,1.0,20260409T205718Z,20260409T205718Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T205718Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,12,12,0,0,0.9861083333333333,0.8182,1.0,1.0,0.9801416666666668,1.0,20260409T205718Z,20260409T205718Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T205718Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,20260409T205859Z,20260409T205859Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T205859Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,12,12,0,0,1.0,1.0,1.0,1.0,0.9305499999999999,1.0,20260409T205859Z,20260409T205859Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T205859Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,20260409T214813Z,20260409T214813Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T214813Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,15,15,0,0,1.0,0.9984466666666666,1.0,1.0,0.9323066666666667,1.0,20260409T214813Z,20260409T214813Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T214813Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,9,9,0,0,1.0,1.0,1.0,1.0,0.9794222222222222,1.0,20260409T215338Z,20260409T215338Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T215338Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,15,15,0,0,1.0,0.9984466666666666,1.0,1.0,0.9323066666666667,1.0,20260409T215338Z,20260409T215338Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T215338Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,9,9,0,0,1.0,1.0,1.0,1.0,0.9794222222222222,1.0,20260409T215412Z,20260409T215412Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260409T215412Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,15,15,0,0,0.9875,0.9954933333333333,1.0,1.0,0.9290533333333334,1.0,20260410T021615Z,20260410T021615Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T021615Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,15,15,0,0,0.9916666666666667,0.9954933333333333,1.0,1.0,0.9302866666666667,1.0,20260410T021646Z,20260410T021646Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T021646Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,9,9,0,0,1.0,1.0,1.0,1.0,0.9794222222222222,1.0,20260410T021734Z,20260410T021734Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T021734Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,15,15,0,0,0.9916666666666667,0.9954933333333333,1.0,1.0,0.9302866666666667,1.0,20260410T021734Z,20260410T021734Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T021734Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,15,15,0,0,1.0,0.9954933333333333,1.0,1.0,0.9319866666666666,1.0,20260410T021825Z,20260410T021825Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T021825Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,9,9,0,0,1.0,1.0,1.0,1.0,0.9794222222222222,1.0,20260410T021845Z,20260410T021845Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T021845Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,12,12,0,0,1.0,1.0,1.0,1.0,0.9691333333333333,1.0,20260410T040120Z,20260410T040120Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T040120Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,12,12,0,0,1.0,1.0,1.0,1.0,0.9308833333333334,1.0,20260410T040120Z,20260410T040120Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T040120Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,exploratory,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,18,18,0,0,1.0,0.9942222222222222,1.0,1.0,0.932711111111111,1.0,20260410T040135Z,20260410T040135Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T040135Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,canonical,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,12,12,0,0,1.0,1.0,1.0,1.0,0.9308833333333334,1.0,20260410T130214Z,20260410T130214Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T130214Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,canonical,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,21,21,0,0,0.9983000000000001,0.9928619047619048,1.0,1.0,0.9329095238095239,1.0,20260410T130254Z,20260410T130254Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T130254Z_replayable_core,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,canonical,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,15,15,0,0,0.9974333333333334,1.0,1.0,1.0,0.9624400000000001,1.0,20260410T130313Z,20260410T130313Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T130313Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,live_web_stress,canonical,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,15,15,0,0,1.0,1.0,1.0,1.0,0.96296,1.0,20260410T130424Z,20260410T130424Z_live_web_stress,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T130424Z_live_web_stress,#9CA3AF,oracle,,
Oracle Gemma 4 + specialists,Oracle Gemma 4 stack,oracle_gemma4_e2b,replayable_core,canonical,synthetic,oracle_upper_bound,False,oracle,google/gemma-4-E2B-it,google/functiongemma-270m-it,google/embeddinggemma-300m,Gemma 4 E2B IT,FunctionGemma 270M IT,EmbeddingGemma 300M,27.0,0.27,0.3,27.57,,,21,21,0,0,1.0,0.9928619047619048,1.0,1.0,0.9332571428571428,1.0,20260410T130424Z,20260410T130424Z_replayable_core,/Users/cheickdiakite/Codex/moonie/results/knowledge_work/20260410T130424Z_replayable_core,#9CA3AF,oracle,,
