avg_latency_ms,backend,created_at,experiment_id,failure_breakdown,matrix_name,notes,output_dir,pipeline,real_world_readiness_avg,reasoner,recovered_execution_rate,run_group_id,runs,status,strict_interface_rate,success_rate,track,variants
4973.75,hf,2026-04-09T16:33:23.566778+00:00,hf_e2b_hybrid_retrieval_real_embeddinggemma,{},alpha_specialist_probe,"[""Real EmbeddingGemma probe on the bounded retrieval drift slice."", ""Runs in-process to amortize HF runtime startup and keep specialist results operational on this Mac."", ""Uses prefix-aware retrieval with dimension and quantization stressors from generated variants.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T163000Z_alpha_specialist_probe/hf_e2b_hybrid_retrieval_real_embeddinggemma,hybrid,0.0,google/gemma-4-E2B-it,0.0,20260409T163000Z,8.0,completed,0.0,1.0,retrieval,True
3739.08,hf,2026-04-09T17:06:20.690909+00:00,hf_e2b_hybrid_retrieval_real_embeddinggemma_clean,{},alpha_integrated_specialists,"[""Real EmbeddingGemma clean retrieval lane on the full 12-task retrieval track."", ""Runs in-process to amortize HF startup overhead on this Mac.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T180500Z_alpha_integrated_specialists/hf_e2b_hybrid_retrieval_real_embeddinggemma_clean,hybrid,0.0,google/gemma-4-E2B-it,0.0,20260409T180500Z,12.0,completed,0.0,1.0,retrieval,False
2642.1,hf,2026-04-09T17:17:18.578165+00:00,hf_e2b_hybrid_retrieval_real_embeddinggemma_variants,"{""answer_mismatch"": 2, ""failed"": 2, ""image_grounding_miss"": 1}",alpha_specialist_drift,"[""Real EmbeddingGemma drift lane across multilingual, multimodal, and reduced-budget retrieval variants."", ""Expands beyond the earlier bounded retrieval specialist probe with two additional retrieval tasks.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T190500Z_alpha_specialist_drift/hf_e2b_hybrid_retrieval_real_embeddinggemma_variants,hybrid,0.0,google/gemma-4-E2B-it,0.0,20260409T190500Z,20.0,completed,0.0,0.9,retrieval,True
28887.5,hf,2026-04-09T17:15:11.437526+00:00,hf_e2b_modular_full_stack_real_specialists_clean,{},alpha_integrated_specialists,"[""Narrow clean modular full-stack lane where both real specialists are active."", ""Uses only the current retrieval-bearing full-stack tasks so specialist effects are observable rather than incidental.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T180500Z_alpha_integrated_specialists/hf_e2b_modular_full_stack_real_specialists_clean,modular,0.0,google/gemma-4-E2B-it,0.0,20260409T180500Z,2.0,completed,0.0,1.0,full_stack,False
13259.69,hf,2026-04-09T17:25:16.417931+00:00,hf_e2b_modular_full_stack_real_specialists_variants,"{""answer_mismatch"": 1, ""arg_mismatch"": 2, ""failed"": 1, ""wrong_tool"": 2}",alpha_specialist_drift,"[""Narrow modular full-stack drift lane where the real retriever and real router are both active."", ""Mixes parallel audit, retrieval-guided repo patching, and multimodal billing guardrail flows.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T190500Z_alpha_specialist_drift/hf_e2b_modular_full_stack_real_specialists_variants,modular,0.0,google/gemma-4-E2B-it,0.0,20260409T190500Z,16.0,completed,0.0,0.9375,full_stack,True
7841.25,hf,2026-04-09T16:47:07.461376+00:00,hf_e2b_modular_tool_routing_real_functiongemma,{},alpha_specialist_probe,"[""Bounded FunctionGemma probe on parallel and validator-sensitive routing surfaces."", ""Runs in-process to amortize HF runtime startup and keep specialist results operational on this Mac."", ""Keeps multi-step planning in Gemma 4 while replacing heuristic routing with a real specialist backend.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T172000Z_alpha_specialist_probe/hf_e2b_modular_tool_routing_real_functiongemma,modular,0.0,google/gemma-4-E2B-it,0.0,20260409T172000Z,8.0,completed,0.0,1.0,tool_routing,True
13786.33,hf,2026-04-09T17:12:00.865401+00:00,hf_e2b_modular_tool_routing_real_functiongemma_clean,"{""arg_mismatch"": 2, ""failed"": 2, ""wrong_tool"": 2}",alpha_integrated_specialists,"[""Real FunctionGemma clean routing lane on the full 12-task routing track."", ""Incorporates the schema-repair and runtime-argument adapter fixes from the latest specialist pass.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T180500Z_alpha_integrated_specialists/hf_e2b_modular_tool_routing_real_functiongemma_clean,modular,0.0,google/gemma-4-E2B-it,0.0,20260409T180500Z,12.0,completed,0.0,0.8333333333333334,tool_routing,False
5198.25,hf,2026-04-09T17:20:01.542364+00:00,hf_e2b_modular_tool_routing_real_functiongemma_variants,"{""arg_mismatch"": 4, ""failed"": 4, ""wrong_tool"": 4}",alpha_specialist_drift,"[""Real FunctionGemma drift lane after the schema-repair and runtime-adapter fixes."", ""Adds two new clean routing tasks so schema and context robustness are measured on more than the original bounded pair.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T190500Z_alpha_specialist_drift/hf_e2b_modular_tool_routing_real_functiongemma_variants,modular,0.0,google/gemma-4-E2B-it,0.0,20260409T190500Z,16.0,completed,0.0,0.75,tool_routing,True
10545.25,hf,2026-04-09T15:59:58.359692+00:00,hf_e2b_monolith_thinking_multilingual_multimodal,{},alpha_specialist_probe,"[""Focused multilingual multimodal check after strengthening French screenshot prompts and answer matching."", ""Runs in-process to avoid the fresh-process HF import penalty observed in the local worker probe."", ""Intended to confirm the last known drift miss before wider scaling.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T120000Z_alpha_specialist_probe/hf_e2b_monolith_thinking_multilingual_multimodal,monolith,0.0,google/gemma-4-E2B-it,0.0,20260409T120000Z,4.0,completed,0.0,1.0,thinking,True
1518.92,hf,2026-04-09T17:00:06.074443+00:00,hf_e2b_monolith_thinking_off_clean,"{""answer_mismatch"": 1, ""failed"": 1, ""image_grounding_miss"": 1}",alpha_integrated_specialists,"[""HF reference slice without thinking for direct comparison against MLX and HF thinking-on.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T180500Z_alpha_integrated_specialists/hf_e2b_monolith_thinking_off_clean,monolith,0.0,google/gemma-4-E2B-it,0.0,20260409T180500Z,12.0,completed,0.0,0.9166666666666666,thinking,False
19631.0,hf,2026-04-09T17:04:37.618648+00:00,hf_e2b_monolith_thinking_on_clean,"{""answer_mismatch"": 1, ""answer_missing"": 2, ""failed"": 3, ""generation_truncated"": 2, ""image_grounding_miss"": 1, ""thinking_overflow"": 2}",alpha_integrated_specialists,"[""HF native thinking slice on the full thinking track."", ""Uses a larger token budget because thought and final answer share the same decode path in the local HF runner.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T180500Z_alpha_integrated_specialists/hf_e2b_monolith_thinking_on_clean,monolith,0.0,google/gemma-4-E2B-it,0.0,20260409T180500Z,12.0,completed,0.0,0.75,thinking,False
12115.68,hf,2026-04-09T19:17:00.793869+00:00,hf_e2b_real_world_full_stack_variants,"{""answer_mismatch"": 7, ""arg_mismatch"": 7, ""failed"": 7, ""wrong_tool"": 7}",alpha_real_world,"[""Bounded-autonomy full-stack slice aimed at human-job-like operational work."", ""Measures strict interface correctness, recovered execution, and real-world readiness together.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T210500Z_alpha_real_world/hf_e2b_real_world_full_stack_variants,modular,0.8696428571428572,google/gemma-4-E2B-it,1.0,20260409T210500Z,28.0,completed,0.75,0.75,full_stack,True
2855.44,hf,2026-04-09T19:08:41.520665+00:00,hf_e2b_real_world_retrieval_variants,"{""answer_mismatch"": 2, ""failed"": 2}",alpha_real_world,"[""Real-world retrieval slice where evidence quality and final answer quality are reported separately."", ""Includes multilingual and multimodal production-risk questions.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T210500Z_alpha_real_world/hf_e2b_real_world_retrieval_variants,hybrid,0.88125,google/gemma-4-E2B-it,0.875,20260409T210500Z,16.0,completed,1.0,0.875,retrieval,True
7339.0,hf,2026-04-09T19:10:49.077804+00:00,hf_e2b_real_world_routing_variants,"{""answer_mismatch"": 4, ""arg_mismatch"": 8, ""failed"": 8, ""malformed_call"": 4, ""wrong_tool"": 8}",alpha_real_world,"[""Job-like routing slice that stresses validator feedback, parallel evidence gathering, and high-cost billing patch intents.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T210500Z_alpha_real_world/hf_e2b_real_world_routing_variants,modular,0.6375,google/gemma-4-E2B-it,0.5,20260409T210500Z,16.0,completed,0.5,0.5,tool_routing,True
1016.75,hf,2026-04-09T19:07:32.669166+00:00,hf_e2b_real_world_thinking_variants,"{""answer_mismatch"": 4, ""failed"": 4}",alpha_real_world,"[""Real-world judgment slice for escalation decisions without tool use.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T210500Z_alpha_real_world/hf_e2b_real_world_thinking_variants,monolith,0.0,google/gemma-4-E2B-it,0.0,20260409T210500Z,4.0,completed,0.0,0.0,thinking,True
731.67,mlx,2026-04-09T16:58:52.328389+00:00,mlx_e2b_hybrid_retrieval_clean,{},alpha_integrated_specialists,"[""Local default retrieval baseline on the balanced 12-task retrieval track."", ""Keeps heuristic retrieval as the fast local reference for comparison against real EmbeddingGemma.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T180500Z_alpha_integrated_specialists/mlx_e2b_hybrid_retrieval_clean,hybrid,0.0,google/gemma-4-E2B-it,0.0,20260409T180500Z,12.0,completed,0.0,1.0,retrieval,False
2883.62,mlx,2026-04-09T13:42:52.053367+00:00,mlx_e2b_hybrid_retrieval_variants,{},alpha_drift_probe,"[""Covers multilingual, long-history, and reduced-budget retrieval perturbations.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T134126Z_alpha_drift_probe/mlx_e2b_hybrid_retrieval_variants,hybrid,0.0,google/gemma-4-E2B-it,0.0,20260409T134126Z,8.0,completed,0.0,1.0,retrieval,True
1044.17,mlx,2026-04-09T16:59:14.970365+00:00,mlx_e2b_modular_full_stack_clean,{},alpha_integrated_specialists,"[""Local default full-stack baseline with heuristic specialists."", ""Uses a larger final-answer budget so end-to-end summaries do not truncate after correct tool execution.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T180500Z_alpha_integrated_specialists/mlx_e2b_modular_full_stack_clean,modular,0.0,google/gemma-4-E2B-it,0.0,20260409T180500Z,12.0,completed,0.0,1.0,full_stack,False
2648.91,mlx,2026-04-09T13:43:22.899039+00:00,mlx_e2b_modular_full_stack_variants,{},alpha_drift_probe,"[""Exercises full-stack validator, changed-constraint, and compact-context variants.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T134126Z_alpha_drift_probe/mlx_e2b_modular_full_stack_variants,modular,0.0,google/gemma-4-E2B-it,0.0,20260409T134126Z,11.0,completed,0.0,1.0,full_stack,True
659.42,mlx,2026-04-09T16:57:58.669816+00:00,mlx_e2b_monolith_thinking_clean,"{""answer_mismatch"": 2, ""failed"": 2, ""image_grounding_miss"": 2}",alpha_integrated_specialists,"[""Local default reasoning baseline for text and image thinking tasks."", ""Runs on the balanced 12-task thinking track.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T180500Z_alpha_integrated_specialists/mlx_e2b_monolith_thinking_clean,monolith,0.0,google/gemma-4-E2B-it,0.0,20260409T180500Z,12.0,completed,0.0,0.8333333333333334,thinking,False
2122.17,mlx,2026-04-09T13:41:53.209149+00:00,mlx_e2b_monolith_thinking_variants,"{""answer_mismatch"": 1, ""failed"": 1, ""image_grounding_miss"": 1}",alpha_drift_probe,"[""Factorized thinking drift probe across language, context, and image-grounding tasks.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T134126Z_alpha_drift_probe/mlx_e2b_monolith_thinking_variants,monolith,0.0,google/gemma-4-E2B-it,0.0,20260409T134126Z,12.0,completed,0.0,0.9166666666666666,thinking,True
1891.0,mlx,2026-04-09T16:58:31.848830+00:00,mlx_e2b_monolith_tool_routing_clean,"{""arg_mismatch"": 1, ""failed"": 1}",alpha_integrated_specialists,"[""Local default structured tool-use baseline on the expanded 12-task routing track.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T180500Z_alpha_integrated_specialists/mlx_e2b_monolith_tool_routing_clean,monolith,0.0,google/gemma-4-E2B-it,0.0,20260409T180500Z,12.0,completed,0.0,0.9166666666666666,tool_routing,False
4056.5,mlx,2026-04-09T13:42:27.426202+00:00,mlx_e2b_monolith_tool_routing_variants,"{""malformed_call"": 1}",alpha_drift_probe,"[""Focuses on schema drift, context drift, and code-switched routing prompts.""]",/Users/cheickdiakite/Codex/moonie/results/alpha_matrix/20260409T134126Z_alpha_drift_probe/mlx_e2b_monolith_tool_routing_variants,monolith,0.0,google/gemma-4-E2B-it,0.0,20260409T134126Z,8.0,completed,0.0,1.0,tool_routing,True
