run_id,episode_id,role_family,lane,workspace_id,benchmark_tags,artifact_quality_score,browser_workflow_score,strict_interface_score,recovered_execution_score,revision_responsiveness,memory_retention_score,escalation_correctness,collateral_damage_free,human_time_ratio,controller_repair_count,argument_repair_count,controller_fallback_count,intent_override_count,raw_planning_clean_rate,role_readiness_score
20260413T183323458945Z_episode_kwa_exec_board_prep_pack,kwa_exec_board_prep_pack,executive_assistant,replayable_core,exec-board-prep,"knowledge_work_arena,replayable_core,executive_assistant",0.9444,0.9683,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9794
20260413T183328004966Z_episode_kwa_exec_travel_conflict_resolution,kwa_exec_travel_conflict_resolution,executive_assistant,replayable_core,exec-travel-conflict,"knowledge_work_arena,replayable_core,executive_assistant",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,1.0,0.0,0.5,0.0,0.5,0.9769
20260413T183339808851Z_episode_kwa_exec_inbox_triage,kwa_exec_inbox_triage,executive_assistant,replayable_core,exec-inbox-triage,"knowledge_work_arena,replayable_core,executive_assistant",1.0,0.9608,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9725
20260413T183343944678Z_episode_kwa_exec_visual_dashboard_revision_hold_v2,kwa_exec_visual_dashboard_revision_hold_v2,executive_assistant,replayable_core,exec-visual-dashboard-revision-hold-v2,"knowledge_work_arena,replayable_core,executive_assistant,visual_ui_ops,visual_kwa,revision_pressure",0.875,0.9773,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,2.0,0.0,0.5,0.0,0.5,0.9662
20260413T183400942450Z_episode_kwa_exec_visual_dashboard_referent_hold_v3,kwa_exec_visual_dashboard_referent_hold_v3,executive_assistant,replayable_core,exec-visual-dashboard-referent-hold-v3,"knowledge_work_arena,replayable_core,executive_assistant,visual_ui_ops,visual_kwa,revision_pressure,latest_filter",0.8421,0.9773,1.0,1.0,0.7292,0.6667,1.0,1.0,0.16,2.0,0.0,0.5,0.0,0.5,0.9155
20260413T183421121923Z_episode_kwa_jobs_tailored_packet,kwa_jobs_tailored_packet,job_application_ops,replayable_core,jobs-tailored-packet,"knowledge_work_arena,replayable_core,job_application_ops",1.0,0.9718,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9795
20260413T183423074361Z_episode_kwa_jobs_browser_form_fill,kwa_jobs_browser_form_fill,job_application_ops,replayable_core,jobs-browser-form,"knowledge_work_arena,replayable_core,job_application_ops",1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.16,1.5,0.0,1.5,0.0,0.0,0.9769
20260413T183435435914Z_episode_kwa_jobs_revise_after_feedback,kwa_jobs_revise_after_feedback,job_application_ops,replayable_core,jobs-revise-feedback,"knowledge_work_arena,replayable_core,job_application_ops",1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,1.5,0.5,0.0,0.5,0.5,0.9942
20260413T183446046939Z_episode_kwa_jobs_visual_constraint_override_hold_v2,kwa_jobs_visual_constraint_override_hold_v2,job_application_ops,replayable_core,jobs-visual-constraint-override-hold-v2,"knowledge_work_arena,replayable_core,job_application_ops,visual_ui_ops,visual_kwa,latest_constraint",0.9,0.9773,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,2.0,0.5,0.0,0.0,0.5,0.9597
20260413T183501746643Z_episode_kwa_jobs_visual_latest_issue_hold_v3,kwa_jobs_visual_latest_issue_hold_v3,job_application_ops,replayable_core,jobs-visual-latest-issue-hold-v3,"knowledge_work_arena,replayable_core,job_application_ops,visual_ui_ops,visual_kwa,referent_carryover",0.9,0.9773,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,2.0,0.0,0.5,0.0,0.5,0.9597
20260413T183521559750Z_episode_kwa_finance_three_statement_model,kwa_finance_three_statement_model,finance,replayable_core,finance-three-statement,"knowledge_work_arena,replayable_core,finance",1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.0889,1.0,0.5,0.0,0.0,0.5,0.9826
20260413T183530860884Z_episode_kwa_finance_visual_invoice_revision_hold_v2,kwa_finance_visual_invoice_revision_hold_v2,finance,replayable_core,finance-visual-invoice-revision-hold-v2,"knowledge_work_arena,replayable_core,finance,visual_document,visual_kwa,revision_pressure",0.875,0.9815,1.0,1.0,0.9375,1.0,1.0,1.0,0.0889,2.5,1.0,0.0,0.0,0.0,0.9667
20260413T183553605680Z_episode_kwa_finance_ic_memo,kwa_finance_ic_memo,finance,replayable_core,finance-ic-memo,"knowledge_work_arena,replayable_core,finance",1.0,0.9718,1.0,1.0,0.9375,1.0,1.0,1.0,0.0889,1.5,0.5,0.0,0.5,0.5,0.9911
20260413T183603172271Z_episode_kwa_finance_partner_deck_revision,kwa_finance_partner_deck_revision,finance,replayable_core,finance-partner-deck,"knowledge_work_arena,replayable_core,finance",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,2.5,0.5,0.0,0.5,0.0,1.0
20260413T183615182110Z_episode_kwa_exec_board_send_hold,kwa_exec_board_send_hold,executive_assistant,replayable_core,exec-board-send-hold,"knowledge_work_arena,replayable_core,executive_assistant",1.0,0.9882,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.9755
20260413T183618214370Z_episode_kwa_jobs_submission_hold,kwa_jobs_submission_hold,job_application_ops,replayable_core,jobs-submission-hold,"knowledge_work_arena,replayable_core,job_application_ops",1.0,0.9833,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.5,0.0,0.5,0.0,0.5,0.975
20260413T183625137092Z_episode_kwa_finance_committee_hold,kwa_finance_committee_hold,finance,replayable_core,finance-committee-hold,"knowledge_work_arena,replayable_core,finance",1.0,0.9833,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,0.0,0.0,0.0,0.0,1.0,0.9981
20260413T183628534480Z_episode_kwa_exec_vendor_access_hold,kwa_exec_vendor_access_hold,executive_assistant,replayable_core,exec-vendor-access-hold,"knowledge_work_arena,replayable_core,executive_assistant",1.0,0.9833,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.975
20260413T183632600145Z_episode_kwa_jobs_screening_hold,kwa_jobs_screening_hold,job_application_ops,replayable_core,jobs-screening-hold,"knowledge_work_arena,replayable_core,job_application_ops",1.0,0.9833,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.5,0.0,0.5,0.0,0.5,0.975
20260413T183639376550Z_episode_kwa_finance_billing_patch_hold,kwa_finance_billing_patch_hold,finance,replayable_core,finance-billing-patch-hold,"knowledge_work_arena,replayable_core,finance",1.0,0.9831,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,0.5,0.5,0.0,0.0,0.5,0.9981
20260413T183645480328Z_episode_kwa_exec_stale_brief_hold,kwa_exec_stale_brief_hold,executive_assistant,replayable_core,exec-stale-brief-hold,"knowledge_work_arena,replayable_core,executive_assistant",1.0,0.9833,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.0,0.0,0.0,0.0,1.0,0.975
20260413T183648811722Z_episode_kwa_jobs_constraint_preservation_hold,kwa_jobs_constraint_preservation_hold,job_application_ops,replayable_core,jobs-constraint-preservation-hold,"knowledge_work_arena,replayable_core,job_application_ops",1.0,0.9833,1.0,1.0,0.75,1.0,1.0,1.0,0.16,0.5,0.0,0.5,0.0,0.5,0.975
20260413T183655634710Z_episode_kwa_finance_stale_assumption_hold,kwa_finance_stale_assumption_hold,finance,replayable_core,finance-stale-assumption-hold,"knowledge_work_arena,replayable_core,finance",1.0,0.9833,1.0,1.0,1.0,1.0,1.0,1.0,0.0889,0.0,0.0,0.0,0.0,1.0,0.9981
20260413T183658908900Z_episode_kwa_exec_visual_dashboard_brief,kwa_exec_visual_dashboard_brief,executive_assistant,replayable_core,exec-visual-dashboard-brief,"knowledge_work_arena,replayable_core,executive_assistant,visual_ui_ops,visual_kwa",1.0,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,2.0,0.0,0.5,0.0,0.5,0.9942
20260413T183718064379Z_episode_kwa_jobs_visual_form_hold,kwa_jobs_visual_form_hold,job_application_ops,replayable_core,jobs-visual-form-hold,"knowledge_work_arena,replayable_core,job_application_ops,visual_ui_ops,visual_kwa",1.0,0.9773,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,2.0,0.5,0.0,0.0,0.5,0.9801
20260413T183732197528Z_episode_kwa_finance_visual_invoice_hold,kwa_finance_visual_invoice_hold,finance,replayable_core,finance-visual-invoice-hold,"knowledge_work_arena,replayable_core,finance,visual_document,visual_kwa",1.0,0.9615,1.0,1.0,0.9375,1.0,1.0,1.0,0.0889,2.5,1.0,0.0,0.0,0.0,0.9899
20260413T183752486446Z_episode_kwa_exec_latest_action_resume_hold_v4,kwa_exec_latest_action_resume_hold_v4,executive_assistant,replayable_core,exec-latest-action-resume-hold-v4,"knowledge_work_arena,replayable_core,executive_assistant,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_latest_instruction,tool_api",0.8889,0.975,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,2.5,0.0,0.5,0.5,0.0,0.9688
20260413T183814686064Z_episode_kwa_jobs_phone_patch_resume_hold_v4,kwa_jobs_phone_patch_resume_hold_v4,job_application_ops,replayable_core,jobs-phone-patch-resume-hold-v4,"knowledge_work_arena,replayable_core,job_application_ops,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_latest_instruction,tool_cli",1.0,0.975,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,2.5,0.0,0.5,0.5,0.0,0.9799
20260413T183834606163Z_episode_kwa_finance_invoice_lock_direction_hold_v4,kwa_finance_invoice_lock_direction_hold_v4,finance,replayable_core,finance-invoice-lock-direction-hold-v4,"knowledge_work_arena,replayable_core,finance,visual_document,visual_kwa,harnessability_approval_resume,direction_following_stale_override,tool_api",0.875,0.975,1.0,1.0,0.9375,1.0,1.0,1.0,0.0889,1.5,0.5,0.5,0.0,0.0,0.966
20260413T183845666576Z_episode_kwa_exec_backlog_resume_hold_v5,kwa_exec_backlog_resume_hold_v5,executive_assistant,replayable_core,exec-backlog-resume-hold-v5,"knowledge_work_arena,replayable_core,executive_assistant,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_latest_instruction,tool_api,tool_function_call",0.8889,0.975,1.0,1.0,0.9375,1.0,1.0,1.0,0.16,3.0,0.0,0.5,0.5,0.0,0.9688
20260413T183918928194Z_episode_kwa_jobs_email_block_resume_hold_v5,kwa_jobs_email_block_resume_hold_v5,job_application_ops,replayable_core,jobs-email-block-resume-hold-v5,"knowledge_work_arena,replayable_core,job_application_ops,visual_ui_ops,visual_kwa,harnessability_resume,harnessability_project_memory,direction_following_conflict,tool_cli,tool_function_call",1.0,0.975,1.0,1.0,0.8125,1.0,1.0,1.0,0.16,3.0,0.0,1.0,0.0,0.0,0.9799
20260413T183952040579Z_episode_kwa_finance_diff_review_hold_v5,kwa_finance_diff_review_hold_v5,finance,replayable_core,finance-diff-review-hold-v5,"knowledge_work_arena,replayable_core,finance,visual_document,harnessability_approval_resume,direction_following_stale_override,tool_cli,tool_api",0.875,0.975,1.0,1.0,0.9375,1.0,1.0,1.0,0.0889,1.0,0.0,0.5,0.5,0.0,0.966
